File, V_Neg, V_Neut, V_Pos, A_Neut, A_Pos, Laning, Shopping, Returning, Roaming, Fighting, Pushing, Defending, Dead, Misc, Interest
5_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
149_07_01.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
179_010_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
224_05_02.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2
177_09_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
196_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
26_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
72_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
228_08_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
175_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
132_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
160_010_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
113_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
68_09_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
70_010_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
159_05_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
14_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
109_05_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2
135_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
14_08_02.mp4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
163_08_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
163_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
168_02_01.mp4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4
190_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
115_06_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
12_02_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
125_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
44_09_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
49_05_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
135_08_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
163_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
169_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
196_09_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
155_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
203_010_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
12_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
44_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
121_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
36_09_03.mp4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
103_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
190_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
131_07_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
221_05_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
52_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
90_08_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
162_01_03.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
162_09_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
70_07_03.mp4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
142_03_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
219_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
201_08_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
128_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
18_010_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
71_08_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
236_08_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
125_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
40_010_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
76_01_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
106_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
29_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
143_06_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
78_01_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
114_010_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
154_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
149_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
12_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
166_06_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2
127_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
222_06_02.mp4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
